Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
TC Bruce (NZ);10;0;13;10;1;0;100;2;v India;Delhi;01-Nov-17;
NLTC Perera (SL);10;0;-;12;1;0;83.33;2;v Pakistan;Lahore;29-Oct-17;
Imrul Kayes (BDESH);10;0;16;11;1;0;90.9;2;v South Africa;Bloemfontein;26-Oct-17;
MN Samuels (WI);10;0;19;13;1;0;76.92;1;v England;Chester-le-Street;16-Sep-17;
JC Buttler (ENG);10;0;14;8;1;0;125;2;v South Africa;Taunton;23-Jun-17;
Najibullah Zadran (AFG);10;1;-;9;1;0;111.11;1;v West Indies;Basseterre;05-Jun-17;
E Lewis (WI);10;0;-;10;0;1;100;1;v Pakistan;Bridgetown;26-Mar-17;
EMDY Munaweera (SL);10;0;22;4;1;1;250;2;v Australia;Geelong;19-Feb-17;
CK Kapugedera (SL);10;1;16;7;1;0;142.85;2;v Australia;Melbourne;17-Feb-17;
JJ Roy (ENG);10;0;14;11;0;1;90.9;2;v India;Nagpur;29-Jan-17;
HG Kuhn (SA);10;0;-;6;2;0;166.66;1;v Sri Lanka;Centurion;20-Jan-17;
J Charles (WI);10;0;10;12;1;0;83.33;2;v Pakistan;Dubai (DSC);24-Sep-16;
RG Sharma (INDIA);10;1;9;8;0;1;125;2;v West Indies;Lauderhill;28-Aug-16;
MN Waller (ZIM);10;0;27;17;0;0;58.82;2;v India;Harare;22-Jun-16;
CJ Chibhabha (ZIM);10;0;12;11;2;0;90.9;1;v India;Harare;20-Jun-16;
H Masakadza (ZIM);10;0;19;12;2;0;83.33;1;v India;Harare;20-Jun-16;
JP Faulkner (AUS);10;0;11;10;1;0;100;1;v India;Mohali;27-Mar-16;
SK Raina (INDIA);10;0;9;7;1;0;142.85;2;v Australia;Mohali;27-Mar-16;
AB de Villiers (SA);10;0;19;12;1;0;83.33;1;v West Indies;Nagpur;25-Mar-16;
J Charles (WI);10;0;17;13;1;0;76.92;2;v Sri Lanka;Bengaluru;20-Mar-16;
RG Sharma (INDIA);10;0;11;11;2;0;90.9;2;v Pakistan;Kolkata;19-Mar-16;
CK Kapugedera (SL);10;0;13;9;1;0;111.11;2;v Afghanistan;Kolkata;17-Mar-16;
LRPL Taylor (NZ);10;0;20;14;1;0;71.42;1;v India;Nagpur;15-Mar-16;
Noor Ali Zadran (AFG);10;0;39;14;1;0;71.42;1;v Zimbabwe;Nagpur;12-Mar-16;
R Mutumbami (ZIM);10;0;19;12;2;0;83.33;2;v Afghanistan;Nagpur;12-Mar-16;
E Chigumbura (ZIM);10;0;10;10;0;1;100;2;v Afghanistan;Nagpur;12-Mar-16;
Sharjeel Khan (PAK);10;0;19;8;1;1;125;1;v Bangladesh;Dhaka;02-Mar-16;
Khurram Manzoor (PAK);10;0;25;18;1;0;55.55;1;v India;Dhaka;27-Feb-16;
EJG Morgan (ENG);10;0;24;12;1;0;83.33;1;v South Africa;Cape Town;19-Feb-16;
Yuvraj Singh (INDIA);10;0;22;14;0;1;71.42;1;v Sri Lanka;Pune;09-Feb-16;
JP Faulkner (AUS);10;0;6;7;0;1;142.85;2;v India;Melbourne;29-Jan-16;
PJ Moor (ZIM);10;1;6;4;0;1;250;1;v Bangladesh;Khulna;20-Jan-16;
GD Elliott (NZ);10;1;8;6;1;0;166.66;1;v Sri Lanka;Mount Maunganui;07-Jan-16;
Imrul Kayes (BDESH);10;0;27;11;2;0;90.9;1;v Zimbabwe;Dhaka;15-Nov-15;
MN Samuels (WI);10;0;19;13;1;0;76.92;2;v Sri Lanka;Pallekele;09-Nov-15;
DA Miller (SA);10;1;9;8;0;1;125;2;v India;Cuttack;05-Oct-15;
MP Stoinis (AUS);10;1;15;8;1;0;125;2;v England;Cardiff;31-Aug-15;
TM Dilshan (SL);10;0;12;8;2;0;125;1;v Pakistan;Colombo (RPS);01-Aug-15;
CK Coventry (ZIM);10;0;10;10;0;1;100;2;v India;Harare;17-Jul-15;
