Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
AJ Finch (AUS);156;0;70;63;11;14;247.61;1;v England;Southampton;29-Aug-13;
GJ Maxwell (AUS);145;1;-;65;14;9;223.07;1;v Sri Lanka;Pallekele;06-Sep-16;
E Lewis (WI);125;1;-;62;6;12;201.61;2;v India;Kingston;09-Jul-17;
SR Watson (AUS);124;1;86;71;10;6;174.64;1;v India;Sydney;31-Jan-16;
BB McCullum (NZ);123;0;72;58;11;7;212.06;1;v Bangladesh;Pallekele;21-Sep-12;
F du Plessis (SA);119;0;99;56;11;5;212.5;1;v West Indies;Johannesburg;11-Jan-15;
RG Sharma (INDIA);118;0;61;43;12;10;274.41;1;v Sri Lanka;Indore;22-Dec-17;
Mohammad Shahzad (AFG);118;1;-;67;10;8;176.11;1;v Zimbabwe;Sharjah;10-Jan-16;
RE Levi (SA);117;1;67;51;5;13;229.41;2;v New Zealand;Hamilton;19-Feb-12;
AD Hales (ENG);116;1;97;64;11;6;181.25;2;v Sri Lanka;Chittagong;27-Mar-14;
BB McCullum (NZ);116;1;87;56;12;8;207.14;1;v Australia;Christchurch;28-Feb-10;
MN van Wyk (SA);114;1;85;70;9;7;162.85;1;v West Indies;Durban;14-Jan-15;
Ahmed Shehzad (PAK);111;1;96;62;10;5;179.03;1;v Bangladesh;Dhaka;30-Mar-14;
KL Rahul (INDIA);110;1;84;51;12;5;215.68;2;v West Indies;Lauderhill;27-Aug-16;
C Munro (NZ);109;1;87;58;7;7;187.93;1;v India;Rajkot;04-Nov-17;
RG Sharma (INDIA);106;0;79;66;12;5;160.6;1;v South Africa;Dharamsala;02-Oct-15;
C Munro (NZ);104;0;88;53;3;10;196.22;1;v West Indies;Mount Maunganui;03-Jan-18;
TM Dilshan (SL);104;1;85;57;12;5;182.45;1;v Australia;Pallekele;06-Aug-11;
GJ Maxwell (AUS);103;1;89;58;10;4;177.58;2;v England;Hobart;07-Feb-18;
DA Miller (SA);101;1;53;36;7;9;280.55;1;v Bangladesh;Potchefstroom;29-Oct-17;
C Munro (NZ);101;0;71;54;7;7;187.03;1;v Bangladesh;Mount Maunganui;06-Jan-17;
MJ Guptill (NZ);101;1;89;69;9;6;146.37;2;v South Africa;East London;23-Dec-12;
SK Raina (INDIA);101;0;85;60;9;5;168.33;1;v South Africa;Gros Islet;02-May-10;
E Lewis (WI);100;0;76;49;5;9;204.08;1;v India;Lauderhill;27-Aug-16;
CH Gayle (WI);100;1;94;48;5;11;208.33;2;v England;Mumbai;16-Mar-16;
DPMD Jayawardene (SL);100;0;80;64;10;4;156.25;1;v Zimbabwe;Providence;03-May-10;
LJ Wright (ENG);99;1;83;55;8;6;180;1;v Afghanistan;Colombo (RPS);21-Sep-12;
AD Hales (ENG);99;0;84;68;6;4;145.58;2;v West Indies;Nottingham;24-Jun-12;
Ahmed Shehzad (PAK);98;1;91;64;6;6;153.12;1;v Zimbabwe;Harare;24-Aug-13;
CH Gayle (WI);98;0;88;66;5;7;148.48;1;v India;Bridgetown;09-May-10;
DPMD Jayawardene (SL);98;1;85;56;9;4;175;1;v West Indies;Bridgetown;07-May-10;
HM Amla (SA);97;1;81;62;8;4;156.45;1;v Australia;Cape Town;09-Mar-16;
JP Duminy (SA);96;1;73;54;10;4;177.77;1;v Zimbabwe;Kimberley;10-Oct-10;
TM Dilshan (SL);96;1;90;57;12;2;168.42;1;v West Indies;The Oval;19-Jun-09;
CJ Anderson (NZ);94;1;68;41;2;10;229.26;1;v Bangladesh;Mount Maunganui;08-Jan-17;
Umar Akmal (PAK);94;0;70;54;9;4;174.07;1;v Australia;Dhaka;23-Mar-14;
AD Hales (ENG);94;0;80;61;11;2;154.09;1;v Australia;Chester-le-Street;31-Aug-13;
LE Bosman (SA);94;0;81;45;5;9;208.88;1;v England;Centurion;15-Nov-09;
H Masakadza (ZIM);93;1;93;58;8;5;160.34;1;v Bangladesh;Khulna;22-Jan-16;
E Lewis (WI);91;0;-;51;5;9;178.43;2;v Pakistan;Port of Spain;01-Apr-17;
BB McCullum (NZ);91;0;67;55;11;3;165.45;1;v India;Chennai;11-Sep-12;
MJ Guptill (NZ);91;1;74;54;5;6;168.51;2;v Zimbabwe;Auckland;11-Feb-12;
V Kohli (INDIA);90;1;71;55;9;2;163.63;1;v Australia;Adelaide;26-Jan-16;
SPD Smith (AUS);90;0;70;53;7;4;169.81;2;v England;Cardiff;31-Aug-15;
CH Gayle (WI);90;0;63;41;9;7;219.51;2;v South Africa;Johannesburg;11-Jan-15;
JE Root (ENG);90;1;77;49;13;1;183.67;2;v Australia;Southampton;29-Aug-13;
DA Warner (AUS);90;1;91;62;5;3;145.16;1;v Sri Lanka;Sydney;26-Jan-13;
KL Rahul (INDIA);89;0;94;49;5;8;181.63;1;v Sri Lanka;Indore;22-Dec-17;
MN Samuels (WI);89;1;-;66;9;3;134.84;2;v Afghanistan;Basseterre;05-Jun-17;
V Kohli (INDIA);89;1;63;47;11;1;189.36;1;v West Indies;Mumbai;31-Mar-16;
DPMD Jayawardene (SL);89;0;86;51;11;3;174.5;1;v England;Chittagong;27-Mar-14;
AJ Finch (AUS);89;0;71;52;14;1;171.15;1;v India;Rajkot;10-Oct-13;
DA Warner (AUS);89;0;64;43;7;6;206.97;1;v South Africa;Melbourne;11-Jan-09;
Tamim Iqbal (BDESH);88;1;90;61;10;2;144.26;2;v West Indies;Dhaka;10-Dec-12;
GC Smith (SA);88;0;66;44;8;6;200;1;v England;Centurion;15-Nov-09;
CH Gayle (WI);88;0;75;50;6;6;176;2;v Australia;The Oval;06-Jun-09;
DJ Hussey (AUS);88;1;63;44;5;6;200;1;v South Africa;Johannesburg;27-Mar-09;
Misbah-ul-Haq (PAK);87;1;82;53;3;5;164.15;1;v Bangladesh;Karachi;20-Apr-08;
Mohammad Hafeez (PAK);86;0;65;51;9;4;168.62;1;v South Africa;Centurion;03-Mar-13;
DPMD Jayawardene (SL);86;0;86;63;12;1;136.5;1;v Australia;Pallekele;08-Aug-11;
HM Amla (SA);85;0;70;51;11;1;166.66;1;v Bangladesh;Potchefstroom;29-Oct-17;
MN Samuels (WI);85;1;92;66;9;2;128.78;2;v England;Kolkata;03-Apr-16;
F du Plessis (SA);85;0;83;65;10;3;130.76;1;v Sri Lanka;Hambantota;06-Aug-13;
MN Samuels (WI);85;1;87;43;3;9;197.67;1;v Bangladesh;Dhaka;10-Dec-12;
CH Gayle (WI);85;1;87;52;7;5;163.46;1;v New Zealand;Lauderhill;30-Jun-12;
CL White (AUS);85;1;67;49;6;6;173.46;1;v Sri Lanka;Bridgetown;09-May-10;
EJG Morgan (ENG);85;1;54;45;7;5;188.88;1;v South Africa;Johannesburg;13-Nov-09;
DAS Gunaratne (SL);84;1;82;46;6;5;182.6;2;v Australia;Geelong;19-Feb-17;
ADS Fletcher (WI);84;1;73;64;6;5;131.25;2;v Sri Lanka;Bengaluru;20-Mar-16;
MDKJ Perera (SL);84;0;98;59;5;4;142.37;1;v Pakistan;Dubai (DSC);13-Dec-13;
J Charles (WI);84;0;77;56;10;3;150;1;v England;Pallekele;27-Sep-12;
Shakib Al Hasan (BDESH);84;0;71;54;11;2;155.55;1;v Pakistan;Pallekele;25-Sep-12;
JE Root (ENG);83;0;70;44;6;4;188.63;2;v South Africa;Mumbai;18-Mar-16;
TM Dilshan (SL);83;1;83;56;8;3;148.21;2;v Afghanistan;Kolkata;17-Mar-16;
RG Sharma (INDIA);83;0;90;55;7;3;150.9;1;v Bangladesh;Dhaka;24-Feb-16;
Mukhtar Ahmed (PAK);83;0;63;45;12;3;184.44;2;v Zimbabwe;Lahore;22-May-15;
V Kohli (INDIA);82;0;-;54;7;1;151.85;2;v Sri Lanka;Colombo (RPS);06-Sep-17;
LMP Simmons (WI);82;1;80;51;7;5;160.78;2;v India;Mumbai;31-Mar-16;
V Kohli (INDIA);82;1;78;51;9;2;160.78;2;v Australia;Mohali;27-Mar-16;
CJ Anderson (NZ);82;1;58;42;6;4;195.23;1;v Pakistan;Wellington;22-Jan-16;
AD Mathews (SL);81;1;60;49;7;4;165.3;1;v New Zealand;Auckland;10-Jan-16;
BB McCullum (NZ);81;1;54;46;5;6;176.08;2;v Zimbabwe;Harare;15-Oct-11;
SR Watson (AUS);81;0;62;49;7;4;165.3;1;v Pakistan;Gros Islet;02-May-10;
DPMD Jayawardene (SL);81;0;74;51;8;2;158.82;1;v New Zealand;Providence;30-Apr-10;
ST Jayasuriya (SL);81;0;55;47;10;3;172.34;1;v West Indies;Nottingham;10-Jun-09;
RG Sharma (INDIA);80;0;85;55;6;4;145.45;1;v New Zealand;Delhi;01-Nov-17;
S Dhawan (INDIA);80;0;68;52;10;2;153.84;1;v New Zealand;Delhi;01-Nov-17;
MJ Guptill (NZ);80;0;61;48;10;3;166.66;1;v Pakistan;Mohali;22-Mar-16;
Sabbir Rahman (BDESH);80;0;65;54;10;3;148.14;1;v Sri Lanka;Dhaka;28-Feb-16;
AD Hales (ENG);80;1;50;42;9;4;190.47;2;v New Zealand;Wellington;15-Feb-13;
J Charles (WI);79;0;42;33;6;7;239.39;1;v India;Lauderhill;27-Aug-16;
F du Plessis (SA);79;0;80;41;5;5;192.68;1;v Australia;Johannesburg;06-Mar-16;
H Masakadza (ZIM);79;0;-;53;9;2;149.05;1;v Bangladesh;Khulna;15-Jan-16;
F du Plessis (SA);79;1;88;61;8;0;129.5;1;v Bangladesh;Dhaka;05-Jul-15;
RG Sharma (INDIA);79;1;65;46;4;6;171.73;2;v Australia;Bridgetown;07-May-10;
DJ Malan (ENG);78;0;60;44;12;2;177.27;1;v South Africa;Cardiff;25-Jun-17;
JJ Roy (ENG);78;0;50;44;11;2;177.27;2;v New Zealand;Delhi;30-Mar-16;
RR Rossouw (SA);78;0;60;50;7;3;156;2;v Australia;Adelaide;05-Nov-14;
MN Samuels (WI);78;0;70;56;3;6;139.28;1;v Sri Lanka;Colombo (RPS);07-Oct-12;
V Kohli (INDIA);78;1;61;61;8;2;127.86;2;v Pakistan;Colombo (RPS);30-Sep-12;
CA Ingram (SA);78;0;59;50;8;3;156;1;v India;Johannesburg;30-Mar-12;
MJ Guptill (NZ);78;1;93;55;5;4;141.81;2;v South Africa;Wellington;17-Feb-12;
KC Sangakkara (SL);78;0;-;37;11;2;210.81;1;v India;Nagpur;09-Dec-09;
JP Duminy (SA);78;0;56;48;9;1;162.5;2;v Australia;Melbourne;11-Jan-09;
MDKJ Perera (SL);77;0;43;37;4;7;208.1;2;v India;Indore;22-Dec-17;
MDKJ Perera (SL);77;0;-;53;9;1;145.28;2;v Bangladesh;Colombo (RPS);04-Apr-17;
DA Warner (AUS);77;0;67;40;6;5;192.5;2;v South Africa;Johannesburg;06-Mar-16;
CH Gayle (WI);77;0;44;31;5;8;248.38;2;v South Africa;Cape Town;09-Jan-15;
V Kohli (INDIA);77;0;75;58;5;4;132.75;1;v Sri Lanka;Dhaka;06-Apr-14;
Yuvraj Singh (INDIA);77;1;57;35;8;5;220;2;v Australia;Rajkot;10-Oct-13;
LMP Simmons (WI);77;0;59;50;12;1;154;2;v South Africa;The Oval;13-Jun-09;
Sarfraz Ahmed (PAK);76;1;93;64;8;2;118.75;2;v New Zealand;Dubai (DSC);04-Dec-14;
LJ Wright (ENG);76;0;59;43;5;5;176.74;2;v New Zealand;Pallekele;29-Sep-12;
TM Dilshan (SL);76;0;81;53;5;3;143.39;2;v New Zealand;Pallekele;27-Sep-12;
GJ Maxwell (AUS);75;0;61;43;7;3;174.41;2;v South Africa;Johannesburg;06-Mar-16;
TM Dilshan (SL);75;1;87;56;10;1;133.92;1;v Pakistan;Dhaka;04-Mar-16;
Shoaib Malik (PAK);75;0;89;54;8;2;138.88;2;v England;Sharjah;30-Nov-15;
CL White (AUS);75;0;57;43;6;4;174.41;1;v England;Hobart;29-Jan-14;
CH Gayle (WI);75;1;98;41;5;6;182.92;1;v Australia;Colombo (RPS);05-Oct-12;
BRM Taylor (ZIM);75;1;52;43;6;3;174.41;1;v New Zealand;Hamilton;14-Feb-12;
AJ Finch (AUS);74;0;69;48;8;2;154.16;2;v India;Melbourne;29-Jan-16;
EJG Morgan (ENG);74;0;50;39;3;7;189.74;1;v Australia;Cardiff;31-Aug-15;
GJ Maxwell (AUS);74;0;48;33;7;6;224.24;2;v Pakistan;Dhaka;23-Mar-14;
TM Dilshan (SL);74;1;80;51;9;2;145.09;2;v South Africa;Hambantota;06-Aug-13;
BB McCullum (NZ);74;0;56;38;6;5;194.73;1;v England;Hamilton;12-Feb-13;
TM Dilshan (SL);74;0;82;47;11;1;157.44;1;v West Indies;Nottingham;10-Jun-09;
KS Williamson (NZ);73;1;81;55;5;2;132.72;2;v Bangladesh;Napier;03-Jan-17;
JC Buttler (ENG);73;1;-;49;3;4;148.97;2;v Sri Lanka;Southampton;05-Jul-16;
AD Mathews (SL);73;1;83;54;3;5;135.18;2;v England;Delhi;26-Mar-16;
C Munro (NZ);73;1;50;39;3;5;187.17;1;v Bangladesh;Dhaka;06-Nov-13;
KP Pietersen (ENG);73;1;59;52;8;2;140.38;2;v Pakistan;Bridgetown;06-May-10;
JH Kallis (SA);73;0;60;54;3;3;135.18;2;v India;Gros Islet;02-May-10;
Kamran Akmal (PAK);73;0;-;55;8;1;132.72;1;v Bangladesh;Gros Islet;01-May-10;
Salman Butt (PAK);73;0;-;46;8;2;158.69;1;v Bangladesh;Gros Islet;01-May-10;
KS Williamson (NZ);72;0;65;46;4;4;156.52;1;v England;Wellington;13-Feb-18;
KS Williamson (NZ);72;1;68;48;11;0;150;2;v Pakistan;Hamilton;17-Jan-16;
MM Ali (ENG);72;1;70;46;6;3;156.52;1;v Australia;Cardiff;31-Aug-15;
V Kohli (INDIA);72;1;67;44;5;2;163.63;2;v South Africa;Dhaka;04-Apr-14;
DR Smith (WI);72;0;49;43;10;3;167.44;1;v Bangladesh;Dhaka;25-Mar-14;
Yuvraj Singh (INDIA);72;0;59;36;4;7;200;1;v Pakistan;Ahmedabad;28-Dec-12;
SR Watson (AUS);72;0;55;42;2;7;171.42;2;v India;Colombo (RPS);28-Sep-12;
Imran Nazir (PAK);72;0;61;36;9;3;200;2;v Bangladesh;Pallekele;25-Sep-12;
MS Wade (AUS);72;0;67;43;5;3;167.44;1;v India;Sydney;01-Feb-12;
DPMD Jayawardene (SL);72;1;74;57;8;1;126.31;2;v England;Bristol;25-Jun-11;
H Masakadza (ZIM);72;0;72;63;6;2;114.28;1;v South Africa;Bloemfontein;08-Oct-10;
SK Raina (INDIA);72;1;59;44;6;2;163.63;2;v Zimbabwe;Harare;13-Jun-10;
DA Warner (AUS);72;0;54;42;2;7;171.42;1;v India;Bridgetown;07-May-10;
KL Rahul (INDIA);71;0;75;47;6;2;151.06;1;v England;Nagpur;29-Jan-17;
AB de Villiers (SA);71;0;42;29;6;6;244.82;2;v England;Johannesburg;21-Feb-16;
EJG Morgan (ENG);71;0;36;31;3;7;229.03;1;v India;Birmingham;07-Sep-14;
AJ Finch (AUS);71;0;62;45;7;4;157.77;2;v Bangladesh;Dhaka;01-Apr-14;
EJG Morgan (ENG);71;1;46;36;4;5;197.22;2;v West Indies;Pallekele;27-Sep-12;
Mohammad Hafeez (PAK);71;0;68;48;6;3;147.91;1;v Zimbabwe;Harare;16-Sep-11;
KS Williamson (NZ);70;0;-;60;6;1;116.66;2;v Pakistan;Auckland;15-Jan-16;
Ahmed Shehzad (PAK);70;0;79;50;6;1;140;1;v Zimbabwe;Harare;23-Aug-13;
SR Watson (AUS);70;0;62;47;8;2;148.93;2;v South Africa;Colombo (RPS);30-Sep-12;
V Kohli (INDIA);70;0;67;41;10;1;170.73;2;v New Zealand;Chennai;11-Sep-12;
DR Smith (WI);70;0;62;54;5;5;129.62;1;v England;Nottingham;24-Jun-12;
HM Amla (SA);69;1;62;38;8;3;181.57;2;v England;Johannesburg;21-Feb-16;
AB de Villiers (SA);69;1;53;28;9;3;246.42;1;v England;Chittagong;29-Mar-14;
LMP Simmons (WI);69;0;80;55;7;2;125.45;2;v England;Bridgetown;13-Mar-14;
MN Samuels (WI);69;1;59;46;10;1;150;1;v England;Bridgetown;09-Mar-14;
SR Watson (AUS);69;0;-;43;5;6;160.46;2;v West Indies;Gros Islet;27-Mar-12;
KC Sangakkara (SL);69;0;71;50;7;0;138;2;v New Zealand;Colombo (RPS);04-Sep-09;
BB McCullum (NZ);69;1;94;55;8;1;125.45;2;v India;Wellington;27-Feb-09;
JP Duminy (SA);69;1;55;41;7;2;168.29;1;v Australia;Brisbane;13-Jan-09;
N Dickwella (SL);68;0;67;51;10;1;133.33;2;v South Africa;Cape Town;25-Jan-17;
MN Waller (ZIM);68;0;42;31;4;6;219.35;1;v Bangladesh;Dhaka;13-Nov-15;
JP Duminy (SA);68;1;59;34;1;7;200;2;v India;Dharamsala;02-Oct-15;
JE Root (ENG);68;0;60;46;8;1;147.82;1;v New Zealand;Manchester;23-Jun-15;
BB McCullum (NZ);68;0;71;48;7;2;141.66;1;v England;The Oval;25-Jun-13;
H Davids (SA);68;0;67;51;7;2;133.33;1;v New Zealand;Port Elizabeth;26-Dec-12;
AD Hales (ENG);68;0;80;51;5;2;133.33;2;v West Indies;Pallekele;27-Sep-12;
V Kohli (INDIA);68;0;65;48;11;1;141.66;1;v Sri Lanka;Pallekele;07-Aug-12;
KC Sangakkara (SL);68;0;67;49;5;3;138.77;1;v West Indies;Bridgetown;07-May-10;
JJ Roy (ENG);67;0;72;45;9;1;148.88;2;v South Africa;Taunton;23-Jun-17;
CJ Chibhabha (ZIM);67;0;-;51;9;0;131.37;1;v India;Harare;19-Jul-15;
JC Buttler (ENG);67;0;60;43;5;3;155.81;1;v West Indies;Bridgetown;11-Mar-14;
SR Patel (ENG);67;0;65;48;8;2;139.58;2;v Sri Lanka;Pallekele;01-Oct-12;
MJ Guptill (NZ);67;0;68;46;7;2;145.65;1;v Zimbabwe;Harare;17-Oct-11;
JP Duminy (SA);67;0;60;53;6;3;126.41;1;v Australia;Cape Town;13-Oct-11;
MN van Wyk (SA);67;0;47;39;5;5;171.79;2;v India;Durban;09-Jan-11;
Salman Butt (PAK);67;1;91;54;8;1;124.07;2;v New Zealand;Bridgetown;08-May-10;
MJ Clarke (AUS);67;0;75;45;5;2;148.88;2;v New Zealand;Christchurch;28-Feb-10;
DA Warner (AUS);67;0;33;29;5;7;231.03;2;v West Indies;Sydney;23-Feb-10;
EJG Morgan (ENG);67;1;61;51;7;2;131.37;2;v Pakistan;Dubai (DSC);19-Feb-10;
Yuvraj Singh (INDIA);67;0;55;43;6;2;155.81;1;v West Indies;Lord's;12-Jun-09;
CH Gayle (WI);67;0;60;41;5;5;163.41;2;v New Zealand;Auckland;26-Dec-08;
C Munro (NZ);66;0;30;23;11;3;286.95;1;v West Indies;Mount Maunganui;01-Jan-18;
GJ Maxwell (AUS);66;0;41;29;7;4;227.58;2;v Sri Lanka;Colombo (RPS);09-Sep-16;
JC Buttler (ENG);66;1;47;37;8;2;178.37;1;v Sri Lanka;Delhi;26-Mar-16;
V Kohli (INDIA);66;0;54;41;9;1;160.97;2;v England;Birmingham;07-Sep-14;
AD Hales (ENG);66;0;77;41;7;2;160.97;2;v Sri Lanka;The Oval;20-May-14;
Shakib Al Hasan (BDESH);66;0;72;52;5;3;126.92;1;v Australia;Dhaka;01-Apr-14;
DJ Bravo (WI);66;1;45;36;4;3;183.33;2;v India;Lord's;12-Jun-09;
MJ Guptill (NZ);65;0;58;40;6;3;162.5;1;v England;Wellington;13-Feb-18;
V Kohli (INDIA);65;0;59;42;8;1;154.76;2;v New Zealand;Rajkot;04-Nov-17;
AB de Villiers (SA);65;1;79;58;4;2;112.06;1;v England;Southampton;21-Jun-17;
Usman Ghani (AFG);65;0;49;45;6;3;144.44;2;v Zimbabwe;Bulawayo;28-Oct-15;
AJ Finch (AUS);65;0;79;54;7;2;120.37;2;v Pakistan;Dhaka;23-Mar-14;
RS Bopara (ENG);65;1;40;27;2;7;240.74;2;v Australia;Hobart;29-Jan-14;
Shakib Al Hasan (BDESH);65;0;56;40;8;2;162.5;2;v Zimbabwe;Bulawayo;11-May-13;
F du Plessis (SA);65;0;40;38;6;2;171.05;2;v India;Colombo (RPS);02-Oct-12;
DPMD Jayawardene (SL);65;1;72;49;10;1;132.65;2;v West Indies;Pallekele;29-Sep-12;
CJ Chibhabha (ZIM);65;0;56;39;4;5;166.66;2;v New Zealand;Harare;17-Oct-11;
LMP Simmons (WI);65;0;54;44;7;2;147.72;1;v Pakistan;Gros Islet;21-Apr-11;
Mohammad Ashraful (BDESH);65;0;-;49;4;3;132.65;2;v Pakistan;Gros Islet;01-May-10;
F Behardien (SA);64;1;58;52;4;2;123.07;1;v England;Southampton;21-Jun-17;
AB de Villiers (SA);64;0;34;29;4;5;220.68;1;v Afghanistan;Mumbai;20-Mar-16;
Mohammad Hafeez (PAK);64;0;70;42;7;2;152.38;1;v Bangladesh;Kolkata;16-Mar-16;
MDKJ Perera (SL);64;0;61;44;7;1;145.45;1;v Bangladesh;Chittagong;12-Feb-14;
Umar Akmal (PAK);64;0;55;37;5;4;172.97;1;v South Africa;Cape Town;22-Nov-13;
MDKJ Perera (SL);64;0;53;44;5;4;145.45;1;v Bangladesh;Pallekele;31-Mar-13;
Mahmudullah (BDESH);64;1;68;48;3;4;133.33;2;v West Indies;Dhaka;10-Dec-12;
BB McCullum (NZ);64;0;46;37;2;6;172.97;1;v Zimbabwe;Harare;17-Oct-11;
Umar Akmal (PAK);64;0;43;31;7;3;206.45;1;v Australia;Birmingham;05-Jul-10;
CL White (AUS);64;1;28;26;5;5;246.15;2;v New Zealand;Christchurch;28-Feb-10;
Kamran Akmal (PAK);64;0;53;33;7;2;193.93;2;v Australia;Melbourne;05-Feb-10;
V Sehwag (INDIA);64;0;56;36;7;3;177.77;2;v Sri Lanka;Mohali;12-Dec-09;
KC Sangakkara (SL);64;1;79;52;7;0;123.07;1;v Pakistan;Lord's;21-Jun-09;
JH Kallis (SA);64;0;75;54;7;1;118.51;2;v Pakistan;Nottingham;18-Jun-09;
MJ Guptill (NZ);63;0;51;38;5;2;165.78;1;v West Indies;Mount Maunganui;03-Jan-18;
SK Raina (INDIA);63;0;57;45;2;5;140;1;v England;Bengaluru;01-Feb-17;
AB de Villiers (SA);63;0;59;44;2;3;143.18;1;v Sri Lanka;Cape Town;25-Jan-17;
MJ Guptill (NZ);63;0;29;25;6;5;252;2;v Sri Lanka;Auckland;10-Jan-16;
H Masakadza (ZIM);63;0;-;44;2;5;143.18;2;v Afghanistan;Sharjah;10-Jan-16;
MJ Lumb (ENG);63;0;46;40;9;2;157.5;1;v West Indies;Bridgetown;13-Mar-14;
Mohammad Hafeez (PAK);63;0;53;41;5;3;153.65;1;v South Africa;Cape Town;22-Nov-13;
LMP Simmons (WI);63;1;67;49;1;6;128.57;2;v Zimbabwe;North Sound;02-Mar-13;
F du Plessis (SA);63;0;68;43;8;1;146.51;1;v New Zealand;East London;23-Dec-12;
GJ Bailey (AUS);63;0;41;29;6;4;217.24;2;v West Indies;Colombo (RPS);05-Oct-12;
DA Warner (AUS);63;1;60;41;7;3;153.65;2;v India;Colombo (RPS);28-Sep-12;
KA Pollard (WI);63;1;34;29;5;5;217.24;1;v New Zealand;Lauderhill;30-Jun-12;
DR Smith (WI);63;0;46;34;6;4;185.29;1;v Australia;Bridgetown;30-Mar-12;
C Kieswetter (ENG);63;0;72;49;7;2;128.57;2;v Australia;Bridgetown;16-May-10;
SK Raina (INDIA);63;0;61;47;7;1;134.04;1;v Sri Lanka;Gros Islet;11-May-10;
CH Gayle (WI);63;1;89;50;8;2;126;2;v Sri Lanka;The Oval;19-Jun-09;
AB de Villiers (SA);63;0;56;51;7;0;123.52;1;v India;Nottingham;16-Jun-09;
DA Warner (AUS);63;0;71;53;6;1;118.86;1;v West Indies;The Oval;06-Jun-09;
LRPL Taylor (NZ);63;0;77;50;4;4;126;1;v West Indies;Auckland;26-Dec-08;
MC Henriques (AUS);62;1;62;46;4;4;134.78;2;v India;Guwahati;10-Oct-17;
M Klinger (AUS);62;0;-;43;6;1;144.18;1;v Sri Lanka;Adelaide;22-Feb-17;
HM Amla (SA);62;0;57;43;9;1;144.18;1;v New Zealand;Auckland;17-Feb-17;
DM de Silva (SL);62;0;82;50;5;0;124;1;v Australia;Colombo (RPS);09-Sep-16;
RG Sharma (INDIA);62;0;54;28;4;4;221.42;2;v West Indies;Lauderhill;27-Aug-16;
Asghar Stanikzai (AFG);62;0;74;47;3;4;131.91;1;v Sri Lanka;Kolkata;17-Mar-16;
GH Worker (NZ);62;0;49;38;3;4;163.15;1;v Zimbabwe;Harare;09-Aug-15;
Mukhtar Ahmed (PAK);62;0;63;40;6;1;155;2;v Zimbabwe;Lahore;24-May-15;
ADS Fletcher (WI);62;0;72;49;3;3;126.53;1;v New Zealand;Roseau;06-Jul-14;
LRPL Taylor (NZ);62;0;68;37;4;3;167.56;2;v South Africa;Chittagong;24-Mar-14;
RG Sharma (INDIA);62;1;83;55;5;2;112.72;2;v West Indies;Dhaka;23-Mar-14;
HD Rutherford (NZ);62;0;54;35;6;4;177.14;1;v England;The Oval;25-Jun-13;
LRPL Taylor (NZ);62;1;69;40;3;3;155;2;v West Indies;Pallekele;01-Oct-12;
KP Pietersen (ENG);62;1;91;52;6;1;119.23;1;v Pakistan;Abu Dhabi;27-Feb-12;
H Masakadza (ZIM);62;0;52;42;3;4;147.61;1;v New Zealand;Hamilton;14-Feb-12;
AD Hales (ENG);62;1;62;48;8;1;129.16;2;v West Indies;The Oval;23-Sep-11;
SR Watson (AUS);62;1;50;33;4;4;187.87;2;v West Indies;Sydney;23-Feb-10;
KP Pietersen (ENG);62;0;52;40;4;3;155;1;v Pakistan;Dubai (DSC);20-Feb-10;
JD Ryder (NZ);62;0;59;41;7;3;151.21;1;v West Indies;Hamilton;28-Dec-08;
KL Rahul (INDIA);61;0;68;48;7;1;127.08;1;v Sri Lanka;Cuttack;20-Dec-17;
SPD Smith (AUS);61;1;62;43;7;0;141.86;1;v Pakistan;Mohali;25-Mar-16;
Mohammad Hafeez (PAK);61;0;-;47;8;2;129.78;1;v New Zealand;Auckland;15-Jan-16;
MDKJ Perera (SL);61;0;63;40;6;3;152.5;1;v South Africa;Chittagong;22-Mar-14;
DPMD Jayawardene (SL);61;1;61;45;5;2;135.55;1;v Australia;Melbourne;28-Jan-13;
Mohammad Hafeez (PAK);61;0;70;44;6;2;138.63;2;v India;Bengaluru;25-Dec-12;
JH Kallis (SA);61;0;58;42;5;2;145.23;1;v India;Johannesburg;30-Mar-12;
AM Rahane (INDIA);61;0;49;39;8;0;156.41;1;v England;Manchester;31-Aug-11;
SK Raina (INDIA);61;1;74;43;2;5;141.86;1;v New Zealand;Christchurch;25-Feb-09;
BB McCullum (NZ);61;0;71;47;5;2;129.78;2;v Australia;Sydney;15-Feb-09;
TM Dilshan (SL);61;0;74;47;7;1;129.78;1;v India;Colombo (RPS);10-Feb-09;
JM Bairstow (ENG);60;1;42;35;6;2;171.42;2;v South Africa;Southampton;21-Jun-17;
KS Williamson (NZ);60;0;88;57;6;1;105.26;1;v Bangladesh;Mount Maunganui;08-Jan-17;
S Dhawan (INDIA);60;0;63;44;9;1;136.36;2;v Bangladesh;Dhaka;06-Mar-16;
RG Sharma (INDIA);60;0;69;47;5;2;127.65;1;v Australia;Melbourne;29-Jan-16;
MJ Guptill (NZ);60;0;50;35;6;3;171.42;1;v South Africa;Centurion;16-Aug-15;
MN Samuels (WI);60;0;63;39;7;2;153.84;2;v South Africa;Johannesburg;11-Jan-15;
Yuvraj Singh (INDIA);60;0;61;43;5;4;139.53;1;v Australia;Dhaka;30-Mar-14;
