Name;Order;Runs;Balls;4s;6s;SR;minutes at crease;Players Team;Match;Result;Team1;;Team1 Innings;Wickets1;Team2;Team2 Innings;Wickets2;
S Badrinath;7;6;2;1;0;300;none recorded;Chennai Super Kings Innings (20 overs maximum);Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
NK Patel;1;2;11;0;0;18.18;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
SA Asnodkar;2;28;20;4;0;140;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
Kamran Akmal æ;3;6;7;1;0;85.71;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
SR Watson;4;28;19;3;0;147.36;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
YK Pathan;5;56;39;3;4;143.58;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
M Kaif;6;12;9;0;1;133.33;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
RA Jadeja;7;0;1;0;0;0;none recorded;Rajasthan Royals;Final (N), Indian Premier League at Mumbai, Jun 1 2008;Royals won by 3 wickets (with 0 balls remaining);Chennai Super Kings;;163;5;Rajasthan Royals;164;7¾;20 ov)
ST Jayasuriya;1;26;20;5;0;130;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
SR Tendulkar (c);2;59;49;7;0;120.4;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
S Dhawan;3;22;21;2;0;104.76;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
JP Duminy;4;9;7;1;0;128.57;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
DJ Bravo;5;5;4;1;0;125;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
AM Nayar;6;35;14;2;3;250;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
Harbhajan Singh;7;4;2;1;0;200;none recorded;Mumbai Indians Innings (20 overs maximum);1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
PA Patel æ;1;0;2;0;0;0;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
ML Hayden;2;44;35;6;1;125.71;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
SK Raina;3;8;9;1;0;88.88;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
A Flintoff;4;24;23;2;1;104.34;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
MS Dhoni (c);5;36;26;1;2;138.46;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
JDP Oram;6;8;6;0;1;133.33;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
S Badrinath;7;0;2;0;0;0;none recorded;Chennai Super Kings;1st match, Indian Premier League at Cape Town, Apr 18 2009;Mum Indians won by 19 runs;Mumbai Indians;;165;7;Chennai Super Kings;146;7¾;20 ov)
JD Ryder;1;0;2;0;0;0;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
RV Uthappa æ;2;3;10;0;0;30;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
LRPL Taylor;3;0;1;0;0;0;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
KP Pietersen (c);4;32;30;4;0;106.66;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
R Dravid;5;66;48;8;1;137.5;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
V Kohli;6;3;8;0;0;37.5;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
B Akhil;7;9;9;1;0;100;none recorded;Royal Challengers Bangalore Innings (20 overs maximum);2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
GC Smith;1;2;11;0;0;18.18;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
SA Asnodkar;2;0;2;0;0;0;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
NK Patel;3;4;16;0;0;25;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
T Henderson;4;11;15;0;1;73.33;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
YK Pathan;5;11;14;1;0;78.57;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
AD Mascarenhas;6;0;1;0;0;0;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
RA Jadeja;7;11;10;0;1;110;none recorded;Rajasthan Royals;2nd match (D/N), Indian Premier League at Cape Town, Apr 18 2009;RCB won by 75 runs;Royal Challengers Bangalore;;133;8;Rajasthan Royals;58;;15,1/20 ov)
RS Bopara;1;22;16;0;2;137.5;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
K Goel;2;38;21;3;3;180.95;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
Yuvraj Singh (c);3;16;11;0;2;145.45;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
KC Sangakkara æ;4;8;11;1;0;72.72;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
DPMD Jayawardene;5;6;6;1;0;100;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
IK Pathan;6;6;7;0;0;85.71;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
PP Chawla;7;0;0;0;0;-;none recorded;Kings XI Punjab Innings (12 overs maximum);3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
G Gambhir;1;15;13;2;0;115.38;none recorded;Delhi Daredevils;3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
V Sehwag (c);2;38;16;4;3;237.5;none recorded;Delhi Daredevils;3rd match, Indian Premier League at Cape Town, Apr 19 2009;Daredevils won by 10 wickets (with 7 balls remaining) (D/L method);Kings XI Punjab;;104;7;Delhi Daredevils;58;0¾;4,5/6 ov, target 54)
BB McCullum (c) æ;1;1;3;0;0;33.33;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
CH Gayle;2;10;12;1;1;83.33;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
SC Ganguly;3;1;12;0;0;8.33;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
BJ Hodge;4;31;34;4;0;91.17;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
A Chopra;5;11;19;2;0;57.89;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
LR Shukla;6;8;6;0;1;133.33;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
MC Henriques;7;6;8;0;0;75;none recorded;Kolkata Knight Riders Innings (20 overs maximum);4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
AC Gilchrist (c) æ;1;13;11;2;0;118.18;none recorded;Deccan Chargers;4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
HH Gibbs;2;43;26;5;1;165.38;none recorded;Deccan Chargers;4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
VVS Laxman;3;10;10;1;1;100;none recorded;Deccan Chargers;4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
RG Sharma;4;36;32;3;2;112.5;none recorded;Deccan Chargers;4th match (N), Indian Premier League at Cape Town, Apr 19 2009;Chargers won by 8 wickets (with 41 balls remaining);Kolkata Knight Riders;;101;;Deccan Chargers;104;2¾;13,1/20 ov)
PA Patel;1;30;26;2;1;115.38;41;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
ML Hayden;2;65;35;9;2;185.71;43;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
SK Raina;3;28;29;1;1;96.55;31;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
MS Dhoni (c) æ;4;16;14;0;1;114.28;17;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
A Flintoff;5;22;13;2;1;169.23;18;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
JA Morkel;6;5;3;1;0;166.66;5;Chennai Super Kings Innings (20 overs maximum);5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
P Kumar;1;0;3;0;0;0;1;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
RV Uthappa æ;2;20;19;2;0;105.26;38;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
JH Kallis;3;24;19;5;0;126.31;22;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
LRPL Taylor;4;1;4;0;0;25;8;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
KP Pietersen (c);5;0;1;0;0;0;3;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
R Dravid;6;20;18;2;0;111.11;35;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
V Kohli;7;11;13;0;1;84.61;12;Royal Challengers Bangalore;5th match (D/N), Indian Premier League at Port Elizabeth, Apr 20 2009;Super Kings won by 92 runs;Chennai Super Kings;;179;5;Royal Challengers Bangalore;87;;15,2/20 ov)
RS Bopara;1;15;15;2;0;100;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
K Goel;2;0;7;0;0;0;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
IK Pathan;3;32;17;5;1;188.23;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
KC Sangakkara æ;4;26;24;2;0;108.33;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
Yuvraj Singh (c);5;38;28;3;2;135.71;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
DPMD Jayawardene;6;31;19;3;1;163.15;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
T Kohli;7;1;4;0;0;25;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
BB McCullum (c) æ;1;21;16;1;2;131.25;none recorded;Kolkata Knight Riders;6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
CH Gayle;2;44;26;2;4;169.23;none recorded;Kolkata Knight Riders;6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
BJ Hodge;3;10;14;0;0;71.42;none recorded;Kolkata Knight Riders;6th match, Indian Premier League at Durban, Apr 21 2009;KKR won by 11 runs (D/L method);Kings XI Punjab;;158;6;Kolkata Knight Riders;79;1¾;9,2 ov, target 69)
AC Gilchrist (c) æ;1;71;45;6;5;157.77;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
HH Gibbs;2;13;7;1;1;185.71;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
VVS Laxman;3;5;10;0;0;50;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
RG Sharma;4;52;30;1;5;173.33;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
SB Styris;5;14;8;0;1;175;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
Y Venugopal Rao;6;9;13;0;0;69.23;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
DB Ravi Teja;7;8;5;1;0;160;none recorded;Deccan Chargers Innings (20 overs maximum);8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
JD Ryder;1;0;1;0;0;0;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
RV Uthappa æ;2;12;19;1;0;63.15;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
JH Kallis;3;15;14;3;0;107.14;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
KP Pietersen (c);4;11;15;1;0;73.33;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
R Dravid;5;48;27;5;2;177.77;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
V Kohli;6;50;32;7;0;156.25;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
R Bishnoi;7;1;2;0;0;50;none recorded;Royal Challengers Bangalore;8th match (D/N), Indian Premier League at Cape Town, Apr 22 2009;Chargers won by 24 runs;Deccan Chargers;;184;6;Royal Challengers Bangalore;160;8¾;20 ov)
G Gambhir;1;0;1;0;0;0;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
V Sehwag (c);2;6;9;1;0;66.66;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
AB de Villiers;3;105;54;5;6;194.44;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
TM Dilshan;4;50;27;7;2;185.18;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
KD Karthik æ;5;18;16;2;0;112.5;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
MK Tiwary;6;9;13;1;0;69.23;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
DL Vettori;7;0;0;0;0;-;none recorded;Delhi Daredevils Innings (20 overs maximum);9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
PA Patel;1;16;15;2;0;106.66;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
ML Hayden;2;57;27;5;3;211.11;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
SK Raina;3;41;27;5;1;151.85;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
MS Dhoni (c) æ;4;5;7;0;0;71.42;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
A Flintoff;5;16;17;1;0;94.11;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
JA Morkel;6;13;14;1;0;92.85;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
S Badrinath;7;7;8;0;0;87.5;none recorded;Chennai Super Kings;9th match, Indian Premier League at Durban, Apr 23 2009;Daredevils won by 9 runs;Delhi Daredevils;;189;5;Chennai Super Kings;180;9¾;20 ov)
GC Smith;1;15;21;1;0;71.42;none recorded;Rajasthan Royals Innings (20 overs maximum);10th match (D/N), Indian Premier League at Cape Town, Apr 23 2009;Match tied (Royals won the one-over eliminator);Rajasthan Royals;;150;6;Kolkata Knight Riders;150;8¾;20 ov)
PC Valthaty;2;5;7;1;0;71.42;none recorded;Rajasthan Royals Innings (20 overs maximum);10th match (D/N), Indian Premier League at Cape Town, Apr 23 2009;Match tied (Royals won the one-over eliminator);Rajasthan Royals;;150;6;Kolkata Knight Riders;150;8¾;20 ov)
